iter	RMSE
0	961.9659294
1	944.0994656
2	927.2132199
3	910.2310402
4	893.8122756
5	878.1191792
6	862.8158503
7	848.1297743
8	834.114106
9	820.3749088
10	807.2745876
11	794.2844216
12	781.6567392
13	769.5884645
14	758.067019
15	746.8658165
16	736.0953869
17	725.8196707
18	715.6522858
19	705.3063057
20	695.5469752
21	686.7108786
22	677.5048806
23	668.6204825
24	659.5544472
25	651.1399477
26	642.7503063
27	635.0753843
28	628.0586942
29	621.0546576
30	613.9479288
31	607.3012452
32	601.2011941
33	595.2331479
34	589.1319569
35	582.4867122
36	576.4865616
37	570.4524192
38	565.1311181
39	560.0441989
40	554.618929
41	549.3101799
42	544.7032964
43	540.3061499
44	535.2779008
45	530.5797976
46	525.8172782
47	521.4858538
48	517.0541976
49	513.3439545
50	508.936443
51	504.7405691
52	501.4837231
53	498.1669505
54	494.8609051
55	490.9566587
56	487.6723305
57	484.5329523
58	481.0944413
59	478.2443469
60	475.4118034
61	472.9215576
62	469.6865343
63	466.9982007
64	464.3193363
65	461.6743617
66	459.3409615
67	456.928187
68	454.123489
69	451.4817801
70	449.4200554
71	446.8086337
72	444.1057057
73	442.0756825
74	440.1059141
75	437.5679681
76	435.0761802
77	432.9896009
78	431.1469863
79	428.6084894
80	426.6928757
81	425.0921765
82	423.3283438
83	421.7278236
84	420.0095172
85	418.6192418
86	417.2759216
87	415.7652683
88	414.3528076
89	412.8834656
90	411.4622837
91	410.3440054
92	408.9307481
93	407.4811788
94	406.0610166
95	404.6919716
96	403.4591069
97	402.0909411
98	401.0176247
99	399.9053534
100	398.4938148
101	397.4797909
102	395.5799328
103	394.5466353
104	393.402287
105	392.4368776
106	391.2095975
107	390.0489899
108	388.8617678
109	387.7679229
110	386.894718
111	385.923823
112	384.7459846
113	383.0522311
114	382.0374427
115	381.2530147
116	380.4301963
117	379.3885253
118	378.5986453
119	377.5427171
120	376.5157672
121	375.6644347
122	374.9278539
123	374.1067507
124	373.7297868
125	372.7427622
126	372.155657
127	371.4088401
128	370.7185769
129	369.9120443
130	368.9493236
131	368.2546609
132	367.4646924
133	366.8338658
134	366.08979
135	365.3562598
136	364.483728
137	363.922335
138	363.304043
139	362.7264509
140	362.0886563
141	361.5551406
142	360.8945953
143	360.1532545
144	359.255523
145	358.7438851
146	358.5846295
147	357.7186209
148	357.2100354
149	356.611178
150	356.4304644
151	356.2623171
152	355.7589928
153	355.2585024
154	355.074942
155	354.7397015
156	354.1494365
157	353.6531185
158	352.9800023
159	351.6119161
160	351.0281798
161	350.392416
162	349.7485126
163	349.2814289
164	348.7257826
165	348.2620681
166	347.6622989
167	346.9304728
168	346.2433819
169	345.9804823
170	345.3790946
171	344.8692395
172	344.427031
173	343.6222898
174	343.1396001
175	342.4722401
176	342.031796
177	341.6020432
178	341.1706162
179	340.7423756
180	340.3196842
181	339.8372582
182	339.4204898
183	339.0005004
184	338.8203659
185	338.096717
186	337.5823397
187	336.9766882
188	336.5224575
189	336.1276636
190	335.7195373
191	335.621828
192	335.2148108
193	334.6117326
194	334.1014644
195	333.7903084
196	333.1807966
197	332.7541144
198	332.2563245
199	331.8796915
200	331.5026681
201	331.1074553
202	330.7325291
203	330.3627269
204	329.8313775
205	329.4543219
206	329.1482739
207	328.7513548
208	328.5551775
209	328.4085935
210	328.0499434
211	327.4414689
212	327.0449828
213	326.6904664
214	326.3423937
215	325.9998125
216	325.6548563
217	325.3787081
218	325.0386218
219	324.6447881
220	324.2767109
221	323.8234907
222	323.4706293
223	323.140967
224	322.8127707
225	322.4614625
226	321.8875706
227	321.5670367
228	321.2079783
229	321.1271481
230	320.7876649
231	320.4767362
232	320.1063602
233	319.7963229
234	319.3559287
235	319.0473291
236	318.9713976
237	318.2943109
238	318.2207612
239	317.9202765
240	317.5251499
241	317.1707887
242	316.8427843
243	315.7108256
244	315.3757027
245	315.0839178
246	314.7963216
247	314.7355896
248	314.3972589
249	314.1142411
250	313.742646
251	312.6436193
252	312.3683745
253	312.0453315
254	311.771681
255	311.438487
256	311.3878922
257	311.2633421
258	310.8327652
259	310.5489315
260	310.072648
261	309.8108389
262	309.3112995
263	308.8719986
264	308.5741593
265	308.1388558
266	307.8847115
267	307.3107175
268	307.0256436
269	306.4397247
270	305.8539449
271	305.6079216
272	305.3438147
273	305.3026442
274	305.0452174
275	304.0094401
276	303.7641499
277	303.5031725
278	303.0391387
279	302.8035463
280	302.7500524
281	302.5133872
282	302.2706009
