iter	Passed	Remaining
0	15	4264
1	30	4263
2	41	3906
3	55	3863
4	69	3843
5	79	3686
6	93	3676
7	106	3646
8	119	3637
9	132	3619
10	145	3606
11	158	3587
12	172	3572
13	185	3558
14	198	3548
15	211	3536
16	224	3513
17	237	3501
18	251	3489
19	264	3473
20	277	3459
21	290	3448
22	303	3428
23	316	3414
24	330	3408
25	343	3398
26	356	3384
27	369	3369
28	382	3354
29	396	3340
30	409	3325
31	421	3307
32	434	3293
33	448	3283
34	461	3267
35	475	3259
36	488	3244
37	500	3229
38	514	3216
39	527	3201
40	539	3187
41	553	3174
42	566	3162
43	579	3146
44	592	3133
45	605	3120
46	618	3103
47	630	3086
48	643	3073
49	657	3061
50	670	3051
51	683	3038
52	697	3026
53	710	3011
54	723	2999
55	736	2986
56	750	2976
57	763	2963
58	776	2949
59	790	2937
60	803	2923
61	816	2910
62	829	2897
63	843	2886
64	857	2874
65	870	2863
66	884	2850
67	896	2835
68	910	2823
69	924	2814
70	939	2804
71	952	2790
72	965	2776
73	977	2761
74	990	2746
75	1008	2745
76	1031	2758
77	1051	2764
78	1068	2758
79	1081	2745
80	1095	2731
81	1108	2716
82	1120	2699
83	1134	2686
84	1147	2671
85	1160	2657
86	1173	2643
87	1186	2629
88	1199	2614
89	1211	2598
90	1224	2582
91	1236	2567
92	1249	2553
93	1262	2538
94	1275	2523
95	1288	2510
96	1301	2495
97	1314	2482
98	1329	2471
99	1343	2458
100	1356	2444
101	1369	2429
102	1382	2415
103	1395	2401
104	1408	2387
105	1421	2374
106	1435	2360
107	1448	2346
108	1461	2333
109	1474	2319
110	1487	2305
111	1500	2290
112	1513	2276
113	1526	2262
114	1539	2248
115	1552	2235
116	1565	2221
117	1578	2207
118	1591	2193
119	1604	2179
120	1616	2164
121	1630	2151
122	1643	2137
123	1655	2123
124	1669	2109
125	1682	2096
126	1696	2083
127	1709	2070
128	1722	2056
129	1736	2043
130	1749	2030
131	1762	2016
132	1775	2002
133	1790	1990
134	1803	1977
135	1816	1963
136	1829	1949
137	1842	1935
138	1855	1922
139	1869	1909
140	1883	1896
141	1895	1882
142	1909	1869
143	1923	1856
144	1936	1843
145	1949	1829
146	1962	1815
147	1976	1802
148	1989	1789
149	2003	1776
150	2016	1763
151	2029	1749
152	2042	1735
153	2055	1721
154	2067	1706
155	2079	1693
156	2091	1678
157	2104	1665
158	2118	1652
159	2132	1639
160	2145	1625
161	2158	1612
162	2171	1598
163	2183	1584
164	2196	1570
165	2208	1556
166	2222	1543
167	2235	1530
168	2248	1516
169	2261	1503
170	2275	1490
171	2288	1476
172	2300	1462
173	2313	1449
174	2326	1435
175	2339	1422
176	2351	1408
177	2364	1394
178	2377	1381
179	2389	1367
180	2402	1354
181	2415	1340
182	2428	1327
183	2441	1313
184	2453	1299
185	2465	1285
186	2478	1272
187	2491	1258
188	2503	1245
189	2516	1231
190	2529	1218
191	2542	1204
192	2555	1191
193	2568	1178
194	2580	1164
195	2593	1151
196	2606	1138
197	2619	1124
198	2632	1111
199	2645	1097
200	2658	1084
201	2671	1071
202	2684	1057
203	2697	1044
204	2710	1031
205	2723	1018
206	2736	1004
207	2748	990
208	2760	977
209	2772	963
210	2785	950
211	2798	937
212	2810	923
213	2823	910
214	2836	897
215	2845	882
216	2858	869
217	2871	856
218	2884	842
219	2897	829
220	2910	816
221	2923	803
222	2936	790
223	2949	776
224	2962	763
225	2976	750
226	2988	737
227	3002	724
228	3015	711
229	3028	697
230	3042	684
231	3056	671
232	3069	658
233	3082	645
234	3096	632
235	3108	619
236	3121	605
237	3134	592
238	3147	579
239	3160	566
240	3173	553
241	3185	539
242	3198	526
243	3211	513
244	3224	500
245	3237	486
246	3250	473
247	3262	460
248	3274	447
249	3287	433
250	3300	420
251	3314	407
252	3328	394
253	3341	381
254	3354	368
255	3367	355
256	3380	341
257	3392	328
258	3404	315
259	3418	302
260	3431	289
261	3444	276
262	3456	262
263	3470	249
264	3482	236
265	3496	223
266	3509	210
267	3521	197
268	3534	183
269	3546	170
270	3559	157
271	3572	144
272	3584	131
273	3597	118
274	3609	105
275	3622	91
276	3635	78
277	3648	65
278	3660	52
279	3673	39
280	3686	26
281	3699	13
282	3711	0
